dia_semana,br,km,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,latitude,longitude,delegacia,classificacao_acidente,postos_policiais_PRF
sábado,BR-282,516.0,Pleno dia,Crescente,Sol,Simples,Curva,-26.93086,-52.49916,DEL07-SC,Risco Médio,Baixa
terça-feira,BR-101,69.5,Amanhecer,Decrescente,Chuva,Simples,Reta,-10.72937,-37.08101,DEL01-SE,Risco Médio,Alta
sábado,BR-116,515.0,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,-24.86704,-48.21738,DEL05-SP,Risco Médio,Alta
terça-feira,BR-267,427.3,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-21.55809,-55.69607,DEL05-MS,Risco Alto,Baixa
terça-feira,BR-369,154.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-23.29654,-51.18936,DEL07-PR,Risco Médio,Baixa
sexta-feira,BR-101,96.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-5.844212,-35.20889,DEL01-RN,Risco Médio,Alta
quinta-feira,BR-153,505.5,Pleno dia,Decrescente,Sol,Dupla,Reta,-16.7537,-49.2411,DEL01-GO,Risco Baixo,Alta
domingo,BR-365,275.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-17.98029,-45.60927,DEL10-MG,Risco Alto,Média
terça-feira,BR-210,0.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,0.07780012,-51.06097,DEL01-AP,Risco Médio,Baixa
segunda-feira,BR-174,506.0,Plena Noite,Decrescente,Nublado,Dupla,Reta,2.816381,-60.69325,DEL01-RR,Risco Médio,Baixa
quinta-feira,BR-365,789.0,Amanhecer,Crescente,Céu Claro,Simples,Reta,-18.93899,-49.80833,DEL15-MG,Risco Médio,Média
sexta-feira,BR-470,88.0,Pleno dia,Decrescente,Nublado,Simples,Reta,-26.95536,-49.37317,DEL04-SC,Risco Médio,Baixa
quarta-feira,BR-101,146.5,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-6.262554,-35.21147,DEL01-RN,Risco Médio,Alta
segunda-feira,BR-277,688.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-25.34552,-54.23633,DEL05-PR,Risco Médio,Média
sexta-feira,BR-101,31.2,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-26.2448,-48.9103,DEL03-SC,Risco Médio,Alta
domingo,BR-235,80.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-10.54321,-37.59966,DEL01-SE,Risco Médio,Baixa
quarta-feira,BR-343,317.0,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-5.044959,-42.5445,DEL01-PI,Risco Médio,Baixa
domingo,BR-158,239.8,Pleno dia,Crescente,Nublado,Simples,Curva,-29.01972,-53.64719,DEL10-RS,Risco Médio,Baixa
sábado,BR-116,325.6,Pleno dia,Crescente,Garoa/Chuvisco,Dupla,Reta,-23.94085,-47.05337,DEL04-SP,Risco Médio,Alta
sexta-feira,BR-343,2.4,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-5.081703,-42.77117,DEL01-PI,Risco Médio,Baixa
sexta-feira,BR-393,104.0,Plena Noite,Decrescente,Céu Claro,Simples,Interseção de vias,-21.88395,-42.69105,DEL06-RJ,Risco Médio,Média
terça-feira,BR-116,394.9,Pleno dia,Crescente,Nublado,Dupla,Reta,-30.84498,-51.75688,DEL02-RS,Risco Baixo,Alta
domingo,BR-116,157.1,Pleno dia,Crescente,Nublado,Simples,Reta,-25.86771,-49.3647,DEL01-PR,Risco Alto,Alta
quarta-feira,BR-101,258.2,Amanhecer,Crescente,Céu Claro,Dupla,Não Informado,-28.00179,-48.69338,DEL02-SC,Risco Médio,Alta
quinta-feira,BR-163,567.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-14.18845,-56.08772,DEL01-MT,Risco Médio,Alta
quinta-feira,BR-324,626.0,Plena Noite,Crescente,Chuva,Dupla,Reta,-12.96291,-38.47655,DEL01-BA,Risco Baixo,Baixa
sábado,BR-101,41.0,Pleno dia,Crescente,Céu Claro,Simples,Rotatória,-26.28215,-48.88973,DEL03-SC,Risco Médio,Alta
segunda-feira,BR-110,188.0,Pleno dia,Decrescente,Nublado,Simples,Reta,-11.01669,-38.5112,DEL07-BA,Risco Médio,Baixa
terça-feira,BR-459,21.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-22.68995,-45.13687,DEL08-SP,Risco Médio,Baixa
domingo,BR-116,224.0,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,-23.48072,-46.53272,DEL01-SP,Risco Baixo,Alta
domingo,BR-101,91.6,Plena Noite,Decrescente,Céu Claro,Dupla,Viaduto,-10.90296,-37.1324,DEL01-SE,Risco Baixo,Alta
quinta-feira,BR-116,95.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-25.4972,-49.11762,DEL01-PR,Risco Médio,Alta
quinta-feira,BR-116,220.8,Pleno dia,Crescente,Nublado,Múltipla,Reta,-23.4682,-46.50884,DEL01-SP,Risco Médio,Alta
domingo,BR-101,132.0,Anoitecer,Decrescente,Nublado,Simples,Não Informado,-9.770472,-36.08833,DEL02-AL,Risco Médio,Alta
quinta-feira,BR-343,8.0,Pleno dia,Crescente,Sol,Simples,Reta,-2.899382,-41.72372,DEL05-PI,Risco Baixo,Baixa
quarta-feira,BR-290,118.9,Pleno dia,Crescente,Sol,Simples,Reta,-30.04847,-51.38795,DEL02-RS,Risco Baixo,Baixa
domingo,BR-101,148.0,Pleno dia,Decrescente,Nublado,Dupla,Desvio Temporário,-27.10124,-48.61808,DEL04-SC,Risco Médio,Alta
segunda-feira,BR-163,147.8,Pleno dia,Crescente,Sol,Simples,Reta,-25.44416,-53.5785,DEL04-PR,Risco Médio,Alta
terça-feira,BR-40,4.2,Plena Noite,Crescente,Céu Claro,Dupla,Reta,-16.01203,-47.98212,DEL01-DF,Risco Médio,Alta
sábado,BR-116,209.3,Plena Noite,Decrescente,Nublado,Simples,Curva,-26.07621,-49.75231,DEL06-SC,Risco Alto,Alta
sexta-feira,BR-280,56.8,Plena Noite,Crescente,Céu Claro,Simples,Não Informado,-26.47791,-49.01284,DEL03-SC,Risco Médio,Baixa
sexta-feira,BR-110,44.7,Plena Noite,Decrescente,Céu Claro,Simples,Não Informado,-5.191149,-37.3092,DEL04-RN,Risco Médio,Baixa
quinta-feira,BR-369,161.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-23.29047,-51.26414,DEL07-PR,Risco Médio,Baixa
quinta-feira,BR-376,214.0,Anoitecer,Crescente,Nevoeiro/Neblina,Dupla,Reta,-23.57279,-51.6537,DEL07-PR,Risco Médio,Baixa
segunda-feira,BR-101,666.0,Pleno dia,Decrescente,Céu Claro,Simples,Curva,-16.04713,-39.61498,DEL09-BA,Risco Médio,Alta
sábado,BR-230,156.0,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-7.2693,-35.9138,DEL02-PB,Risco Baixo,Baixa
sexta-feira,BR-40,113.0,Plena Noite,Decrescente,Chuva,Múltipla,Reta,-22.70949,-43.2904,DEL01-RJ,Risco Médio,Alta
terça-feira,BR-116,228.1,Plena Noite,Decrescente,Nublado,Múltipla,Reta,-23.50088,-46.56167,DEL01-SP,Risco Médio,Alta
domingo,BR-101,101.0,Pleno dia,Crescente,Nublado,Dupla,Reta,-5.886811,-35.23143,DEL01-RN,Risco Médio,Alta
segunda-feira,BR-153,144.2,Pleno dia,Crescente,Nublado,Dupla,Reta,-7.198687,-48.23752,DEL02-TO,Risco Médio,Alta
quinta-feira,BR-116,2.0,Plena Noite,Crescente,Nublado,Dupla,Reta,-25.54459,-49.19084,DEL01-PR,Risco Médio,Alta
sexta-feira,BR-116,427.5,Pleno dia,Decrescente,Nublado,Dupla,Reta,-24.3927,-47.7255,DEL05-SP,Risco Médio,Alta
domingo,BR-50,94.0,Pleno dia,Crescente,Céu Claro,Múltipla,Curva,-19.08366,-48.18632,DEL15-MG,Risco Alto,Média
segunda-feira,BR-101,25.3,Plena Noite,Decrescente,Nublado,Simples,Reta,-26.18347,-48.91059,DEL03-SC,Risco Médio,Alta
sábado,BR-101,136.1,Plena Noite,Decrescente,Nublado,Simples,Desvio Temporário,-9.780312,-36.10618,DEL02-AL,Risco Baixo,Alta
quarta-feira,BR-101,120.5,Pleno dia,Decrescente,Nublado,Dupla,Reta,-26.91276,-48.712,DEL04-SC,Risco Médio,Alta
segunda-feira,BR-101,104.0,Pleno dia,Crescente,Céu Claro,Simples,Reta,-12.1167,-38.3929,DEL01-BA,Risco Médio,Alta
sexta-feira,BR-262,588.5,Pleno dia,Decrescente,Chuva,Simples,Reta,-19.66225,-46.11856,DEL08-MG,Risco Médio,Média
terça-feira,BR-116,461.0,Pleno dia,Crescente,Sol,Simples,Não Informado,-12.4459,-39.2414,DEL02-BA,Risco Baixo,Alta
segunda-feira,BR-101,324.0,Pleno dia,Crescente,Nublado,Dupla,Reta,-22.87381,-43.12641,DEL02-RJ,Risco Médio,Alta
terça-feira,BR-50,280.6,Pleno dia,Crescente,Sol,Simples,Rotatória,-18.1784,-47.9362,DEL06-GO,Risco Médio,Média
domingo,BR-262,422.3,Pleno dia,Decrescente,Sol,Dupla,Reta,-19.88478,-44.72993,DEL08-MG,Risco Médio,Média
segunda-feira,BR-40,52.0,Pleno dia,Decrescente,Chuva,Simples,Curva,-22.3449,-43.1322,DEL06-RJ,Risco Médio,Alta
segunda-feira,BR-116,561.5,Pleno dia,Crescente,Chuva,Dupla,Curva,-25.02045,-48.51586,DEL05-SP,Risco Médio,Alta
quinta-feira,BR-472,567.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-29.74545,-56.9857,DEL13-RS,Risco Médio,Baixa
domingo,BR-101,406.0,Plena Noite,Crescente,Garoa/Chuvisco,Dupla,Reta,-22.87189,-43.80896,DEL01-RJ,Risco Médio,Alta
domingo,BR-381,363.5,Pleno dia,Crescente,Céu Claro,Simples,Curva,-19.8509,-43.21728,DEL03-MG,Risco Médio,Alta
terça-feira,BR-101,265.6,Pleno dia,Crescente,Nublado,Dupla,Reta,-22.71025,-42.64785,DEL02-RJ,Risco Baixo,Alta
quarta-feira,BR-163,618.8,Plena Noite,Crescente,Nublado,Simples,Reta,-13.63524,-56.03454,DEL01-MT,Risco Médio,Alta
quarta-feira,BR-287,280.0,Plena Noite,Crescente,Céu Claro,Simples,Não Informado,-29.64103,-54.17002,DEL09-RS,Risco Médio,Baixa
domingo,BR-324,524.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-12.29551,-38.90487,DEL01-BA,Risco Médio,Baixa
quarta-feira,BR-116,27.6,Pleno dia,Decrescente,Céu Claro,Dupla,Não Informado,-25.11261,-48.80384,DEL01-PR,Risco Baixo,Alta
terça-feira,BR-101,117.2,Pleno dia,Decrescente,Sol,Múltipla,Reta,-26.88747,-48.72253,DEL04-SC,Risco Médio,Alta
sábado,BR-381,0.5,Plena Noite,Decrescente,Chuva,Dupla,Reta,-22.88134,-46.37861,DEL03-SP,Risco Alto,Alta
sexta-feira,BR-101,489.0,Plena Noite,Decrescente,Chuva,Simples,Reta,-22.95688,-44.30847,DEL03-RJ,Risco Baixo,Alta
segunda-feira,BR-262,476.8,Plena Noite,Crescente,Céu Claro,Simples,Reta,-19.78799,-45.21134,DEL08-MG,Risco Alto,Média
sexta-feira,BR-407,126.0,Pleno dia,Crescente,Céu Claro,Simples,Rotatória,-10.45836,-40.17975,DEL04-BA,Risco Médio,Baixa
quinta-feira,BR-116,187.0,Pleno dia,Decrescente,Nublado,Simples,Reta,-22.73884,-43.47245,DEL01-RJ,Risco Médio,Alta
sábado,BR-364,230.0,Pleno dia,Crescente,Sol,Simples,Reta,-11.47694,-61.39323,DEL02-RO,Risco Médio,Alta
terça-feira,BR-70,280.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-15.56281,-54.29702,DEL05-MT,Risco Médio,Baixa
segunda-feira,BR-356,266.4,Pleno dia,Decrescente,Céu Claro,Simples,Interseção de vias,-21.12839,-42.3668,DEL07-MG,Risco Médio,Baixa
quarta-feira,BR-376,165.0,Pleno dia,Crescente,Garoa/Chuvisco,Dupla,Reta,-23.38289,-52.03194,DEL09-PR,Risco Médio,Baixa
terça-feira,BR-251,467.8,Pleno dia,Crescente,Céu Claro,Simples,Reta,-16.45684,-43.40388,DEL12-MG,Risco Baixo,Baixa
domingo,BR-277,713.4,Anoitecer,Crescente,Nublado,Dupla,Reta,-25.4629,-54.44366,DEL05-PR,Risco Baixo,Média
sábado,BR-163,38.0,Plena Noite,Crescente,Ignorado,Simples,Não Informado,-9.248941,-54.84303,DEL05-PA,Risco Alto,Alta
terça-feira,BR-135,0.6,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-2.585776,-44.24323,DEL01-MA,Risco Médio,Baixa
sábado,BR-402,75.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-3.09392,-41.4555,DEL05-PI,Risco Médio,Baixa
domingo,BR-101,664.0,Pleno dia,Crescente,Chuva,Simples,Curva,-15.97541,-39.56308,DEL09-BA,Risco Médio,Alta
sábado,BR-405,75.9,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-5.643015,-37.79996,DEL04-RN,Risco Médio,Baixa
domingo,BR-277,586.2,Plena Noite,Crescente,Céu Claro,Simples,Interseção de vias,-24.9669,-53.42464,DEL04-PR,Risco Médio,Média
terça-feira,BR-386,347.0,Anoitecer,Crescente,Ignorado,Dupla,Reta,-29.45449,-51.96053,DEL04-RS,Risco Médio,Média
sábado,BR-262,124.0,Pleno dia,Decrescente,Chuva,Simples,Reta,-20.49937,-52.71071,DEL07-MS,Risco Alto,Média
quinta-feira,BR-364,205.0,Pleno dia,Crescente,Sol,Dupla,Retorno Regulamentado,-16.45929,-54.66092,DEL02-MT,Risco Médio,Alta
terça-feira,BR-158,351.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-21.25912,-51.92305,DEL07-MS,Risco Baixo,Baixa
domingo,BR-226,174.1,Plena Noite,Crescente,Céu Claro,Simples,Reta,-6.258179,-36.50117,DEL03-RN,Risco Alto,Baixa
quinta-feira,BR-101,211.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-27.62519,-48.65427,DEL01-SC,Risco Médio,Alta
quarta-feira,BR-101,208.5,Plena Noite,Crescente,Nublado,Simples,Reta,-9.99005,-36.58595,DEL02-AL,Risco Baixo,Alta
sábado,BR-101,155.0,Pleno dia,Crescente,Céu Claro,Múltipla,Curva,-27.16292,-48.61129,DEL04-SC,Risco Baixo,Alta
terça-feira,BR-116,3.5,Pleno dia,Crescente,Nublado,Dupla,Reta,-3.778665,-38.5149,DEL01-CE,Risco Médio,Alta
quarta-feira,BR-116,210.0,Plena Noite,Decrescente,Ignorado,Múltipla,Reta,-23.4287,-46.41086,DEL01-SP,Risco Médio,Alta
sábado,BR-116,704.5,Pleno dia,Decrescente,Nublado,Simples,Curva,-21.13417,-42.38723,DEL07-MG,Risco Médio,Alta
domingo,BR-116,39.0,Anoitecer,Crescente,Chuva,Dupla,Curva,-25.15617,-48.86134,DEL01-PR,Risco Médio,Alta
sexta-feira,BR-259,16.4,Plena Noite,Decrescente,Nublado,Simples,Reta,-19.6566,-40.4229,DEL02-ES,Risco Médio,Baixa
domingo,BR-101,87.5,Pleno dia,Crescente,Sol,Dupla,Curva,-26.64598,-48.68737,DEL03-SC,Risco Médio,Alta
domingo,BR-135,129.4,Plena Noite,Crescente,Céu Claro,Simples,Reta,-3.5845,-44.57513,DEL01-MA,Risco Médio,Baixa
sábado,BR-135,133.1,Anoitecer,Decrescente,Ignorado,Simples,Reta,-3.616944,-44.55929,DEL01-MA,Risco Alto,Baixa
sábado,BR-386,118.0,Plena Noite,Decrescente,Céu Claro,Simples,Curva,-27.86265,-53.01236,DEL08-RS,Risco Baixo,Média
segunda-feira,BR-70,503.0,Plena Noite,Crescente,Céu Claro,Simples,Reta,-15.67139,-55.94815,DEL01-MT,Risco Médio,Baixa
sexta-feira,BR-40,124.0,Pleno dia,Crescente,Chuva,Múltipla,Reta,-22.80795,-43.28912,DEL01-RJ,Risco Baixo,Alta
terça-feira,BR-101,428.0,Pleno dia,Crescente,Céu Claro,Simples,Reta,-21.01942,-41.15231,DEL03-ES,Risco Alto,Alta
quinta-feira,BR-290,107.0,Pleno dia,Decrescente,Céu Claro,Dupla,Não Informado,-30.00185,-51.30426,DEL02-RS,Risco Médio,Baixa
quarta-feira,BR-319,60.9,Plena Noite,Decrescente,Céu Claro,Dupla,Curva,-8.740188,-63.89,DEL01-RO,Risco Médio,Baixa
sexta-feira,BR-423,92.9,Pleno dia,Crescente,Nublado,Múltipla,Curva,-8.869174,-36.4627,DEL03-PE,Risco Baixo,Baixa
sexta-feira,BR-381,537.2,Plena Noite,Decrescente,Céu Claro,Dupla,Não Informado,-20.20562,-44.38917,DEL04-MG,Risco Médio,Alta
terça-feira,BR-101,45.2,Pleno dia,Decrescente,Sol,Dupla,Desvio Temporário,-26.32214,-48.86895,DEL03-SC,Risco Médio,Alta
terça-feira,BR-153,202.0,Pleno dia,Decrescente,Céu Claro,Simples,Interseção de vias,-14.5278,-49.15969,DEL07-GO,Risco Médio,Alta
domingo,BR-116,141.0,Amanhecer,Decrescente,Ignorado,Simples,Reta,-16.7759,-41.4815,DEL11-MG,Risco Baixo,Alta
segunda-feira,BR-153,432.3,Pleno dia,Crescente,Chuva,Dupla,Reta,-16.32063,-48.86993,DEL02-GO,Risco Médio,Alta
segunda-feira,BR-116,86.1,Plena Noite,Crescente,Céu Claro,Dupla,Reta,-22.92639,-45.35308,DEL06-SP,Risco Médio,Alta
sábado,BR-101,722.6,Pleno dia,Crescente,Céu Claro,Simples,Reta,-16.4,-39.58,DEL09-BA,Risco Médio,Alta
domingo,BR-101,144.0,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,-27.07327,-48.59673,DEL04-SC,Risco Médio,Alta
quarta-feira,BR-101,199.0,Pleno dia,Decrescente,Nublado,Dupla,Reta,-27.53414,-48.63003,DEL01-SC,Risco Médio,Alta
domingo,BR-290,65.0,Amanhecer,Decrescente,Nevoeiro/Neblina,Dupla,Curva,-29.94311,-50.90523,DEL03-RS,Risco Baixo,Baixa
terça-feira,BR-116,56.6,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-26.38497,-50.18725,DEL06-SC,Risco Baixo,Alta
sábado,BR-277,117.2,Plena Noite,Decrescente,Nublado,Dupla,Reta,-25.43598,-49.52032,DEL01-PR,Risco Médio,Média
quinta-feira,BR-116,507.0,Anoitecer,Decrescente,Garoa/Chuvisco,Dupla,Curva,-24.80529,-48.21497,DEL05-SP,Risco Médio,Alta
sábado,BR-101,8.7,Plena Noite,Crescente,Céu Claro,Dupla,Interseção de vias,-11.5474,-37.8648,DEL02-SE,Risco Médio,Alta
sexta-feira,BR-20,16.0,Pleno dia,Crescente,Chuva,Dupla,Reta,-15.62567,-47.72516,DEL02-DF,Risco Baixo,Baixa
domingo,BR-101,293.4,Anoitecer,Decrescente,Céu Claro,Dupla,Interseção de vias,-22.7562,-42.88724,DEL02-RJ,Risco Médio,Alta
terça-feira,BR-101,267.0,Pleno dia,Crescente,Nublado,Dupla,Reta,-20.20016,-40.26919,DEL02-ES,Risco Médio,Alta
quarta-feira,BR-101,216.0,Pleno dia,Decrescente,Sol,Múltipla,Interseção de vias,-27.65981,-48.67748,DEL01-SC,Risco Médio,Alta
quarta-feira,BR-116,8.1,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-14.85338,-40.88111,DEL08-BA,Risco Médio,Alta
sábado,BR-116,10.9,Plena Noite,Decrescente,Nublado,Simples,Reta,-14.86631,-40.87186,DEL08-BA,Risco Alto,Alta
segunda-feira,BR-343,590.0,Pleno dia,Crescente,Céu Claro,Dupla,Retorno Regulamentado,-6.781361,-43.02322,DEL03-PI,Risco Médio,Baixa
domingo,BR-101,32.5,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-18.4255,-39.93487,DEL04-ES,Risco Médio,Alta
domingo,BR-158,43.6,Pleno dia,Crescente,Céu Claro,Simples,Curva,-19.32726,-51.43686,DEL08-MS,Risco Baixo,Baixa
sábado,BR-262,378.5,Pleno dia,Crescente,Chuva,Dupla,Reta,-19.9322,-44.42373,DEL01-MG,Risco Baixo,Média
sábado,BR-282,2.5,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-27.60329,-48.59042,DEL01-SC,Risco Médio,Baixa
sexta-feira,BR-376,159.6,Plena Noite,Decrescente,Céu Claro,Dupla,Curva,-23.36498,-52.07632,DEL09-PR,Risco Alto,Baixa
quarta-feira,BR-381,484.5,Anoitecer,Crescente,Ignorado,Dupla,Curva,-19.95532,-44.11722,DEL01-MG,Risco Médio,Alta
domingo,BR-316,7.0,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,-5.155846,-42.77173,DEL01-PI,Risco Médio,Baixa
quinta-feira,BR-40,722.4,Plena Noite,Decrescente,Nublado,Dupla,Reta,-21.31034,-43.6034,DEL05-MG,Risco Médio,Alta
terça-feira,BR-116,51.6,Plena Noite,Crescente,Nublado,Dupla,Reta,-22.74488,-45.09703,DEL08-SP,Risco Alto,Alta
domingo,BR-459,16.0,Plena Noite,Decrescente,Céu Claro,Simples,Curva,-22.6264,-45.1619,DEL08-SP,Risco Médio,Baixa
segunda-feira,BR-324,522.0,Pleno dia,Decrescente,Garoa/Chuvisco,Múltipla,Reta,-12.27929,-38.93057,DEL01-BA,Risco Médio,Baixa
segunda-feira,BR-285,326.6,Pleno dia,Crescente,Céu Claro,Simples,Reta,-28.27133,-52.67873,DEL08-RS,Risco Médio,Baixa
sexta-feira,BR-470,7.8,Pleno dia,Crescente,Sol,Simples,Interseção de vias,-26.84499,-48.71505,DEL04-SC,Risco Médio,Baixa
quarta-feira,BR-70,269.0,Anoitecer,Crescente,Céu Claro,Simples,Reta,-15.53134,-54.20481,DEL05-MT,Risco Baixo,Baixa
domingo,BR-40,461.0,Pleno dia,Decrescente,Céu Claro,Dupla,Não Informado,-19.40655,-44.33368,DEL02-MG,Risco Médio,Alta
sábado,BR-376,370.9,Pleno dia,Crescente,Céu Claro,Simples,Reta,-24.37448,-50.79479,DEL03-PR,Risco Médio,Baixa
quarta-feira,BR-153,402.6,Plena Noite,Decrescente,Céu Claro,Dupla,Não Informado,-30.02661,-52.91649,DEL02-RS,Risco Médio,Alta
sábado,BR-364,27.0,Plena Noite,Decrescente,Céu Claro,Dupla,Rotatória,-20.02519,-48.94096,DEL13-MG,Risco Médio,Alta
quarta-feira,BR-267,302.6,Pleno dia,Decrescente,Céu Claro,Simples,Curva,-21.95712,-44.91126,DEL17-MG,Risco Médio,Baixa
sexta-feira,BR-116,763.3,Plena Noite,Decrescente,Nublado,Simples,Interseção de vias,-21.52636,-42.63257,DEL07-MG,Risco Médio,Alta
terça-feira,BR-324,582.0,Plena Noite,Decrescente,Céu Claro,Simples,Reta,-12.5821,-38.53753,DEL01-BA,Risco Médio,Baixa
terça-feira,BR-101,261.9,Plena Noite,Decrescente,Céu Claro,Dupla,Interseção de vias,-22.7142,-42.61817,DEL02-RJ,Risco Baixo,Alta
sexta-feira,BR-10,161.9,Pleno dia,Crescente,Céu Claro,Simples,Reta,-3.027276,-47.46508,DEL02-PA,Risco Médio,Baixa
domingo,BR-376,529.0,Plena Noite,Crescente,Nublado,Dupla,Não Informado,-25.2897,-49.9006,DEL03-PR,Risco Médio,Baixa
sábado,BR-101,135.3,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-19.27504,-40.08788,DEL04-ES,Risco Médio,Alta
terça-feira,BR-470,8.5,Plena Noite,Decrescente,Nublado,Simples,Curva,-26.83421,-48.72271,DEL04-SC,Risco Médio,Baixa
segunda-feira,BR-376,104.5,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-23.05158,-52.44672,DEL07-PR,Risco Médio,Baixa
sexta-feira,BR-381,840.0,Plena Noite,Crescente,Nublado,Dupla,Reta,-22.1727,-45.8384,DEL16-MG,Risco Médio,Alta
domingo,BR-476,116.0,Anoitecer,Decrescente,Chuva,Dupla,Reta,-25.34894,-49.17003,DEL01-PR,Risco Médio,Baixa
domingo,BR-116,192.1,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-23.37692,-46.24973,DEL02-SP,Risco Médio,Alta
segunda-feira,BR-40,80.0,Pleno dia,Crescente,Chuva,Simples,Curva,-22.49799,-43.22879,DEL06-RJ,Risco Médio,Alta
sábado,BR-262,46.3,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-20.40817,-40.67396,DEL01-ES,Risco Médio,Média
quarta-feira,BR-153,495.2,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-16.66288,-49.22273,DEL01-GO,Risco Médio,Alta
sábado,BR-116,241.8,Pleno dia,Decrescente,Nublado,Dupla,Curva,-22.66922,-43.85596,DEL07-RJ,Risco Baixo,Alta
terça-feira,BR-290,59.4,Plena Noite,Crescente,Nublado,Dupla,Reta,-29.92296,-50.85225,DEL03-RS,Risco Médio,Baixa
sexta-feira,BR-101,266.3,Pleno dia,Crescente,Chuva,Múltipla,Reta,-20.19343,-40.26881,DEL02-ES,Risco Médio,Alta
quarta-feira,BR-116,273.0,Pleno dia,Crescente,Nublado,Dupla,Reta,-23.6281,-46.8187,DEL04-SP,Risco Médio,Alta
sábado,BR-153,137.0,Pleno dia,Crescente,Sol,Dupla,Interseção de vias,-7.146303,-48.20256,DEL02-TO,Risco Médio,Alta
segunda-feira,BR-116,416.0,Pleno dia,Crescente,Céu Claro,Simples,Reta,-18.88636,-41.94632,DEL06-MG,Risco Médio,Alta
terça-feira,BR-364,14.9,Pleno dia,Crescente,Sol,Simples,Interseção de vias,-12.73898,-60.13911,DEL04-RO,Risco Médio,Alta
domingo,BR-282,204.0,Anoitecer,Crescente,Céu Claro,Simples,Reta,-27.76922,-50.17571,DEL05-SC,Risco Baixo,Baixa
quinta-feira,BR-364,379.0,Pleno dia,Crescente,Chuva,Simples,Reta,-10.7417,-62.2155,DEL02-RO,Risco Médio,Alta
sábado,BR-316,45.3,Plena Noite,Crescente,Céu Claro,Simples,Reta,-1.280187,-48.06973,DEL01-PA,Risco Médio,Baixa
segunda-feira,BR-101,37.5,Pleno dia,Crescente,Chuva,Dupla,Curva,-9.1454,-35.76945,DEL01-AL,Risco Baixo,Alta
quarta-feira,BR-101,37.5,Anoitecer,Decrescente,Céu Claro,Dupla,Reta,-26.28957,-48.88556,DEL03-SC,Risco Médio,Alta
domingo,BR-365,625.0,Pleno dia,Crescente,Céu Claro,Dupla,Reta,-18.905,-48.2879,DEL15-MG,Risco Médio,Média
segunda-feira,BR-277,587.8,Anoitecer,Crescente,Céu Claro,Simples,Não Informado,-24.96941,-53.4296,DEL04-PR,Risco Médio,Média
quinta-feira,BR-101,3.6,Pleno dia,Crescente,Nublado,Dupla,Curva,-20.79354,-40.81146,DEL03-ES,Risco Médio,Alta
terça-feira,BR-392,83.1,Plena Noite,Decrescente,Nublado,Simples,Não Informado,-31.65233,-52.47209,DEL07-RS,Risco Médio,Média
sábado,BR-163,256.0,Pleno dia,Decrescente,Céu Claro,Dupla,Rotatória,-22.25869,-54.80403,DEL04-MS,Risco Médio,Alta
quinta-feira,BR-277,105.5,Plena Noite,Crescente,Céu Claro,Dupla,Não Informado,-25.43172,-49.41961,DEL03-PR,Risco Médio,Média
sábado,BR-470,56.3,Amanhecer,Crescente,Céu Claro,Simples,Reta,-26.87674,-49.12774,DEL04-SC,Risco Médio,Baixa
segunda-feira,BR-116,221.0,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,-23.46802,-46.50705,DEL01-SP,Risco Médio,Alta
